Algorithm,Problem,IndicatorName,ExecutionId,IndicatorValue
PESA2,square1,SP,0,1.418187664708787
PESA2,square1,SP,1,1.4950851770912608
PESA2,square1,SP,2,1.5140504566012276
PESA2,square1,SP,3,1.5458799430591992
PESA2,square1,SP,4,1.543445119025508
PESA2,square1,SP,5,1.4976795981688777
PESA2,square1,SP,6,1.5323764012864376
PESA2,square1,SP,7,1.5137327088044006
PESA2,square1,SP,8,1.513680770021492
PESA2,square1,SP,9,1.5080276586234302
PESA2,square1,SP,10,1.5502559239239908
PESA2,square1,SP,11,1.3561368307222348
PESA2,square1,SP,12,1.470682613745456
PESA2,square1,SP,13,1.5567558527096585
PESA2,square1,SP,14,1.527723918503546
PESA2,square1,SP,15,1.4827278698413788
PESA2,square1,SP,16,1.5034223129246858
PESA2,square1,SP,17,1.4766757424368386
PESA2,square1,SP,18,1.4975041771147912
PESA2,square1,SP,19,1.5054401447893717
PESA2,square1,SP,20,1.5084980867120732
PESA2,square1,SP,21,1.5891388505240316
PESA2,square1,SP,22,1.5120256300880184
PESA2,square1,SP,23,1.4991803493079447
PESA2,square1,SP,24,1.5156197017927717
PESA2,square1,SP,25,1.5429052466358342
PESA2,square1,SP,26,1.5294653899359953
PESA2,square1,SP,27,1.455292940516306
PESA2,square1,SP,28,1.418574184363558
PESA2,square1,SP,29,1.5482385531766392
PESA2,square2,SP,0,1.6003399754715766
PESA2,square2,SP,1,1.625012411400503
PESA2,square2,SP,2,1.6353392284072306
PESA2,square2,SP,3,1.6199432689990831
PESA2,square2,SP,4,1.681520900392358
PESA2,square2,SP,5,1.689101771065818
PESA2,square2,SP,6,1.699243809213527
PESA2,square2,SP,7,1.6469704227674191
PESA2,square2,SP,8,1.6018537974387377
PESA2,square2,SP,9,1.676000508371407
PESA2,square2,SP,10,1.7058480153064701
PESA2,square2,SP,11,1.5162650206461772
PESA2,square2,SP,12,1.7044289823507566
PESA2,square2,SP,13,1.6728886901860263
PESA2,square2,SP,14,1.7240203265189105
PESA2,square2,SP,15,1.6590649657238743
PESA2,square2,SP,16,1.6917317972768602
PESA2,square2,SP,17,1.658878995255438
PESA2,square2,SP,18,1.621518188362437
PESA2,square2,SP,19,1.674083193571297
PESA2,square2,SP,20,1.6895851191218414
PESA2,square2,SP,21,1.6297987716233862
PESA2,square2,SP,22,1.618609565482552
PESA2,square2,SP,23,1.6165134584889786
PESA2,square2,SP,24,1.585593649090781
PESA2,square2,SP,25,1.7249858115813381
PESA2,square2,SP,26,1.6457345512686041
PESA2,square2,SP,27,1.7496155190802598
PESA2,square2,SP,28,1.6317064547486237
PESA2,square2,SP,29,1.6210594096784856
PESA2,square3,SP,0,1.5547237618145993
PESA2,square3,SP,1,1.5659465653780875
PESA2,square3,SP,2,1.59055602959397
PESA2,square3,SP,3,1.5332936030168731
PESA2,square3,SP,4,1.4902547132305608
PESA2,square3,SP,5,1.4736101338186949
PESA2,square3,SP,6,1.6073998031901524
PESA2,square3,SP,7,1.4979393617988737
PESA2,square3,SP,8,1.453173229144047
PESA2,square3,SP,9,1.516004976120295
PESA2,square3,SP,10,1.5108172208702129
PESA2,square3,SP,11,1.525573267847943
PESA2,square3,SP,12,1.5174260390437346
PESA2,square3,SP,13,1.491192692956
PESA2,square3,SP,14,1.5384774631397788
PESA2,square3,SP,15,1.5776394338915087
PESA2,square3,SP,16,1.5181243419499493
PESA2,square3,SP,17,1.6063712526821943
PESA2,square3,SP,18,1.5798437087217152
PESA2,square3,SP,19,1.5887219777989496
PESA2,square3,SP,20,1.5441003551951296
PESA2,square3,SP,21,1.6029059728711963
PESA2,square3,SP,22,1.6115323774432775
PESA2,square3,SP,23,1.5416629250256342
PESA2,square3,SP,24,1.595410402127728
PESA2,square3,SP,25,1.5658259288615346
PESA2,square3,SP,26,1.5233869642462474
PESA2,square3,SP,27,1.4922963753782983
PESA2,square3,SP,28,1.5486945040523872
PESA2,square3,SP,29,1.5251758404337368
PESA2,square4,SP,0,1.5951964758761532
PESA2,square4,SP,1,1.5373366200458967
PESA2,square4,SP,2,1.569483947794377
PESA2,square4,SP,3,1.5872922265042733
PESA2,square4,SP,4,1.5440391397681739
PESA2,square4,SP,5,1.5057484992123393
PESA2,square4,SP,6,1.5536308530526224
PESA2,square4,SP,7,1.563020954014625
PESA2,square4,SP,8,1.6007688717657753
PESA2,square4,SP,9,1.6713130288626783
PESA2,square4,SP,10,1.5739594593335313
PESA2,square4,SP,11,1.5913792902795498
PESA2,square4,SP,12,1.5770788706275478
PESA2,square4,SP,13,1.6549657657775858
