X1	Y1	X2	Y2
0.000000	0.000000	70.831168	-23.785642
-12.676222	-3.547689	67.940100	-30.558503
-22.461375	-8.062929	64.937837	-37.331363
-30.133825	-13.384463	61.935574	-44.104224
-37.250300	-18.786626	58.933311	-50.957714
-43.699606	-24.350047	56.820608	-57.891834
-45.367530	-31.606683	55.152684	-65.148470
-47.925013	-38.540803	53.929539	-72.485736
-50.037717	-45.555551	52.150421	-79.661743
-52.595200	-52.489671	50.482497	-86.918380
